,planner,n_imgs,wall,floor,cabinet,bed,chair,sofa,table,door,window,bookshelf,picture,counter,blinds,desk,shelves,curtain,dresser,pillow,mirror,floor mat,clothes,ceiling,books,refridgerator,television,paper,towel,shower curtain,box,whiteboard,person,night stand,toilet,sink,lamp,bathtub,bag,otherstructure,otherfurniture,otherprop,mIoU
0,unknown,-1,54.475135423621666,66.92776449418373,0.0,25.25364917854519,39.244347043134056,46.661336709379505,40.39130128995724,0.0,17.699211412902688,0.0,68.94169667969359,54.06430975849444,0.0,0.0,0.0,25.745813340707716,0.0,26.581607485993214,0.0,66.20378670081405,0.0,35.68117233939764,0.6789280015203794,0.0,37.48255224454384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.489123731276198,15.979612656348618,0.0,0.0,0.0,42.94748807807475,34.654473306059735,37.952805782876226
1,space_filling_curves,-1,78.95223701644855,84.29228808859575,0.0,75.570299241039,72.74675622740631,81.32043051665237,70.49242564615682,46.714714774473336,65.74802940017815,0.0,85.55626710866672,78.45956668103275,0.0,0.0,0.0,72.67788193083129,0.0,69.26523058009167,0.0,85.54254438868557,0.0,85.90325541487414,33.10715528020382,0.0,70.05325072012457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.68167639766456,57.066792113501634,0.0,0.0,0.0,76.10760342194914,59.695622375378434,70.44770136619773
2,curiosity_planner_fixed,-1,72.03235566876013,80.83058904066861,0.0,72.70250408827775,71.16017416098332,73.10162968545967,55.43511361776411,38.2282442728325,56.37157877436054,0.0,77.89354413870093,69.31771348600859,0.0,0.0,0.0,74.11505898319744,0.0,56.175548419293946,0.0,81.2129663657828,0.0,81.977500567291,28.64312038623965,0.0,50.58867624753453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.004359378892303,49.615336455917024,0.0,0.0,0.0,59.36235249918885,57.22099403116243,61.299468013415805
3,unknown,-1,73.52386642652736,80.10150672955233,0.0,53.015532683438074,58.455311338071255,72.7349576672271,51.176704584026595,29.990057805716397,52.466607862903224,0.0,79.86441835474184,75.75636312085709,0.0,0.0,0.0,77.68939087968155,0.0,51.41010906796467,0.0,80.50369868545116,0.0,79.31453428382962,16.799495586380832,0.0,58.83565487699823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.368572865662756,47.733147623367344,0.0,0.0,0.0,68.21682986046264,47.9563725976511,59.09565664502557
4,exploration_planner,-1,69.1701902934116,72.54406888469852,0.0,55.698569564372825,57.44773626662937,48.519997083378904,42.21210089473563,53.61661649123514,41.870097823213186,0.0,79.38805316840252,60.42278730397735,0.0,0.0,0.0,67.86131580925212,0.0,28.983487125161457,0.0,74.18459209111468,0.0,75.27530509461613,22.85033283875366,0.0,54.09480915132159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.049430863375502,35.841351681199924,0.0,0.0,0.0,49.394230988875435,42.7354899631251,52.558028169042544
5,bump_and_rotate,-1,74.7057626498689,81.39995514283304,0.0,56.655736522772024,68.16008718244348,78.68090981305626,52.22431716739714,38.631409851915386,55.7208281291397,0.0,82.75108971353498,76.39796489690596,0.0,0.0,0.0,79.1751632293536,0.0,57.84015669498552,0.0,83.6219555344397,0.0,82.49388865785687,27.328389261325654,0.0,57.78360820675987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7908732183202,59.46557616550572,0.0,0.0,0.0,74.24171040946595,53.6133778665637,63.9341380157222
6,bump_and_rotate,-1,74.6725036098583,80.02640699446275,0.0,46.08275623620814,64.36544830691558,75.76580069794494,49.08671811414687,34.62262299104405,52.47723099981804,0.0,82.86084596395678,72.85686092017536,0.0,0.0,0.0,79.07075199921678,0.0,49.069186938289896,0.0,82.75997832073885,0.0,80.81290333615303,20.771770275320794,0.0,58.931046779338494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26286523632167,50.718441588127355,0.0,0.0,0.0,67.1339524165304,48.715604411287565,59.70318480679279
7,random_moving,-1,72.30979380674718,80.28353847429761,0.0,40.62412029314944,65.8142417703503,73.23262086219613,54.46906836857042,18.794974130932875,49.31843764286455,0.0,76.81048919168195,75.71905186725574,0.0,0.0,0.0,71.10488484562283,0.0,57.349282232126605,0.0,77.05289256977473,0.0,81.50479879108127,1.2275480922520992,0.0,57.366638282701935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.703231344656324,46.874586745538465,0.0,0.0,0.0,64.67205555978161,45.807220737790566,58.50197378046863
8,curiosity_planner,-1,68.41332397283618,73.51692087935741,0.0,15.353161289271812,49.98074473442545,43.73218706396003,46.405712404897834,33.49325483567829,17.977669649839257,0.0,70.03206884919938,64.86402661401415,0.0,0.0,0.0,31.382631966475103,0.0,28.14672532003644,0.0,64.23347588823125,0.0,66.25819430047824,15.323130550910639,0.0,49.56753974012731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57494839113868,20.145840086705107,0.0,0.0,0.0,65.4621394478422,37.2870661953146,45.95753810903697
